label,"GDP Per Capita"
2019,42084.3533748088
2018,42949.9305849512
2017,42849.426324701
2016,40105.6133867135
2015,38615.9951849093
2014,44553.2822108385
2013,42962.9882149803
2012,39982.7543013783
2011,38437.543157275
2010,33700.126039246
2009,28205.732843583
2008,31290.2537245347
2007,32511.126663932
2006,26671.3294177179
2005,27751.0654708859
2004,25420.234882944
2003,21913.7081719961
2002,16874.1874918196
2001,13882.8568268586
2000,13641.1027183822
1999,15322.2238340267
1998,14738.4455703918
1997,17474.187029724
1996,18794.436039393
1995,17400.4201848172
1994,15280.3127842922
1993,13094.3454502639
1992,11793.1392416214
1991,12230.0734548834
1990,13663.0216184298
1989,13312.3855858113
1988,13759.1556295922
1987,12330.9168305483
1986,9427.55394035348
1985,7600.56524172937
1984,6713.76013104154
1983,7598.31203875006
1982,7656.47573238963
1981,7813.88754336067
1980,7467.16803773805
1979,6668.1386662247
1978,5936.98526036423
1977,4950.58820538927
1976,4373.84099791231
1975,4171.76973967475
1974,4610.57042634013
1973,4323.19653458655
1972,3294.64894268304
1971,2772.9185969396
1970,2356.54030336362
1969,2077.89554302301
1968,1885.15615175625
1967,2188.39913862561
1966,2191.31254193959
1965,2151.29492695315
1964,2813.54697563939
1963,2622.2202714036
1962,2448.62863326468
1961,2343.29221317425
1960,2312.94999239859
